Prompt,Missed Count
cuu,3
nir,2
gni,1
ogp,3
bph,1
lih,1
luh,2
wdl,1
ynh,2
izw,2
rmh,2
izg,3
uyl,2
kve,1
akm,4
zie,1
jeb,3
ulu,2
suj,5
bde,1
mfo,3
llj,1
mti,2
ntj,4
gsg,3
rtn,1
pma,1
uld,3
rgu,1
aae,2
rnm,1
ksn,1
paa,2
ftr,3
ffd,3
wdk,2
wib,3
gsc,2
ayc,2
poa,1
kyi,2
amh,3
ahy,1
iax,1
kca,1
oyc,1
htc,3
ftt,3
xbo,1
lhu,5
aip,2
rsy,1
gpe,3
yox,3
tmu,1
uia,2
wix,2
okk,1
miv,3
wff,3
xli,1
ctn,3
bku,2
apu,1
tyt,1
rpm,2
uws,5
ssq,4
ysk,1
yhy,2
beb,2
dsi,2
pja,1
pht,2
gga,1
ysl,2
sre,1
xup,1
skr,2
htn,2
aui,1
lwr,2
tne,1
dob,2
hbr,2
iah,2
oxs,2
ahz,6
uoo,2
mfs,2
eol,1
nsk,2
zyl,2
ksg,2
erz,2
nnk,3
isn,2
zqu,3
jaf,1
nao,2
ulm,1
beo,2
vkh,2
zoh,1
mri,4
caz,2
usr,3
tyd,2
rwe,1
odg,1
htp,3
otd,1
pjo,2
hyw,4
fek,2
ybl,2
voq,5
yib,3
liy,2
jst,3
udj,2
mpd,2
noh,2
lsb,2
stt,3
uvv,2
rfv,2
rng,3
stg,2
wev,4
xtu,3
rii,2
eii,2
rtu,1
xsu,2
eax,1
kaj,2
hqu,1
zum,2
dpu,1
wth,1
miu,1
szo,2
zva,3
wgi,3
wmi,1
lln,1
hek,2
uex,2
wco,1
ckc,5
wcl,1
pto,1
iit,2
rix,2
rck,1
koe,1
tby,2
dco,3
uwi,2
uyu,4
oao,2
eia,3
bsc,1
ddo,1
sfr,2
jym,3
bez,1
csh,2
duy,1
ecy,1
avt,2
uza,2
wsd,2
uyn,3
dsh,1
boj,2
rrg,2
yoz,3
mhu,1
ylv,2
yrp,3
msc,4
xwe,2
mkh,1
irq,2
kej,3
niy,3
tih,2
okt,1
ooj,3
aue,1
oln,4
dsy,2
osb,3
ozl,4
hmu,2
dcr,4
tvy,2
biw,2
wia,2
ynr,3
fga,3
rzy,1
hbe,2
ghj,3
fbo,2
